Timestamp,Topic,Payload
2024-05-13T11:32:12.575446,avr/vio/position/ned,"{""n"": -63.401285880542616, ""e"": 20.58720164826758, ""d"": -86.5500873689368}"
2024-05-13T11:32:12.575446,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.575446,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.00800000037997961, ""hdg"": 13.979711532592773}"
2024-05-13T11:32:12.576446,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.00800000037997961, ""abs_alt"": 161.92300415039062}"
2024-05-13T11:32:12.576446,avr/fusion/position/ned,"{""n"": -63.401285880542616, ""e"": 20.58720164826758, ""d"": -86.5500873689368}"
2024-05-13T11:32:12.640977,avr/fusion/geo,"{""lat"": 32.8085432832225, ""lon"": -97.15634280184922, ""alt"": 162.3655009086286}"
2024-05-13T11:32:12.640977,avr/vio/orientation/eul,"{""psi"": 2.4166066163295676, ""theta"": -0.07997820455676638, ""phi"": 0.13277158293192665}"
2024-05-13T11:32:12.640977,avr/fusion/attitude/euler,"{""psi"": 2.4166066163295676, ""theta"": -0.07997820455676638, ""phi"": 0.13277158293192665}"
2024-05-13T11:32:12.640977,avr/vio/heading,"{""degrees"": 7.607251341270594}"
2024-05-13T11:32:12.641977,avr/vio/velocity/ned,"{""n"": 0.4431799702022389, ""e"": 2.3396078335202253, ""d"": 4.871319169583528}"
2024-05-13T11:32:12.641977,avr/fusion/hil_gps,"{""time_usec"": 1715617935291154, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563428, ""alt"": 162365, ""eph"": 20, ""epv"": 5, ""vel"": 2, ""vn"": 0, ""ve"": -2, ""vd"": -1, ""cog"": 800, ""satellites_visible"": 13, ""heading"": 803}"
2024-05-13T11:32:12.641977,avr/vio/confidence,"{""tracker"": 85}"
2024-05-13T11:32:12.641977,avr/fusion/attitude/heading,"{""heading"": 7.607251341270594}"
2024-05-13T11:32:12.642977,avr/sandbox/CIC,"{""Thermal Targeting"": ""Offline"", ""CIC"": ""Online"", ""Autonomous"": ""Online"", ""Recon"": ""Off"", ""Sanity"": ""Gone"", ""Laser"": ""Off""}"
2024-05-13T11:32:12.642977,avr/fcm/location/local,"{""dX"": -1.5364700555801392, ""dY"": -1.4697742462158203, ""dZ"": -2.5887856483459473}"
2024-05-13T11:32:12.643977,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.643977,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.977448463439941}"
2024-05-13T11:32:12.643977,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.643977,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:12.644977,avr/apriltags/fps,"{""fps"": 4}"
2024-05-13T11:32:12.644977,avr/fcm/location/local,"{""dX"": -1.5366604328155518, ""dY"": -1.4699593782424927, ""dZ"": -2.5888803005218506}"
2024-05-13T11:32:12.644977,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.688454,avr/fusion/velocity/ned,"{""Vn"": 0.4431799702022389, ""Ve"": 2.3396078335202253, ""Vd"": 4.871319169583528}"
2024-05-13T11:32:12.688454,avr/fusion/groundspeed,"{""groundspeed"": 2.3812125693977135}"
2024-05-13T11:32:12.688454,avr/fusion/climbrate,"{""climb_rate_fps"": -958.9191785325175}"
2024-05-13T11:32:12.689451,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.689451,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.970260620117188}"
2024-05-13T11:32:12.689451,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
